"SUID","Assembly","interaction","name","Regulator Gene","Regulatory function","selected","shared interaction","shared name","Strength","Target Gene"
"5771","hg19","regulates","STAT3 regulates FN1","STAT3","Metatargetome","false","regulates","STAT3 regulates FN1","155","FN1"
"5775","hg19","regulates","STAT3 regulates CDKN1A","STAT3","Metatargetome","false","regulates","STAT3 regulates CDKN1A","151","CDKN1A"
"5777","hg19","regulates","STAT3 regulates BCL6","STAT3","Metatargetome","false","regulates","STAT3 regulates BCL6","144","BCL6"
"5779","hg19","regulates","STAT3 regulates BCL3","STAT3","Metatargetome","false","regulates","STAT3 regulates BCL3","130","BCL3"
"5781","hg19","regulates","STAT3 regulates CCND2","STAT3","Metatargetome","false","regulates","STAT3 regulates CCND2","125","CCND2"
"5783","hg19","regulates","STAT3 regulates SOCS3","STAT3","Metatargetome","false","regulates","STAT3 regulates SOCS3","123","SOCS3"
"5785","hg19","regulates","STAT3 regulates CCND1","STAT3","Metatargetome","false","regulates","STAT3 regulates CCND1","122","CCND1"
"5787","hg19","regulates","STAT3 regulates ICAM1","STAT3","Metatargetome","false","regulates","STAT3 regulates ICAM1","120","ICAM1"
"5789","hg19","regulates","STAT3 regulates IRF1","STAT3","Metatargetome","false","regulates","STAT3 regulates IRF1","115","IRF1"
"5791","hg19","regulates","STAT3 regulates CCL2","STAT3","Metatargetome","false","regulates","STAT3 regulates CCL2","103","CCL2"
"5793","hg19","regulates","STAT3 regulates NR4A2","STAT3","Metatargetome","false","regulates","STAT3 regulates NR4A2","93","NR4A2"
"5795","hg19","regulates","STAT3 regulates COL1A2","STAT3","Metatargetome","false","regulates","STAT3 regulates COL1A2","87","COL1A2"
"5797","hg19","regulates","STAT3 regulates IRF8","STAT3","Metatargetome","false","regulates","STAT3 regulates IRF8","86","IRF8"
"5799","hg19","regulates","STAT3 regulates SOCS2","STAT3","Metatargetome","false","regulates","STAT3 regulates SOCS2","83","SOCS2"
"5801","hg19","regulates","STAT3 regulates EGR1","STAT3","Metatargetome","false","regulates","STAT3 regulates EGR1","82","EGR1"
"5803","hg19","regulates","STAT3 regulates SOCS1","STAT3","Metatargetome","false","regulates","STAT3 regulates SOCS1","81","SOCS1"
"5805","hg19","regulates","STAT3 regulates TIMP3","STAT3","Metatargetome","false","regulates","STAT3 regulates TIMP3","79","TIMP3"
"5807","hg19","regulates","STAT3 regulates AKT1","STAT3","Metatargetome","false","regulates","STAT3 regulates AKT1","75","AKT1"
"5809","hg19","regulates","STAT3 regulates FAS","STAT3","Metatargetome","false","regulates","STAT3 regulates FAS","75","FAS"
"5811","hg19","regulates","STAT3 regulates NRP1","STAT3","Metatargetome","false","regulates","STAT3 regulates NRP1","74","NRP1"
"5813","hg19","regulates","STAT3 regulates RELA","STAT3","Metatargetome","false","regulates","STAT3 regulates RELA","73","RELA"
"5815","hg19","regulates","STAT3 regulates STAT5A","STAT3","Metatargetome","false","regulates","STAT3 regulates STAT5A","72","STAT5A"
"5817","hg19","regulates","STAT3 regulates THBS1","STAT3","Metatargetome","false","regulates","STAT3 regulates THBS1","72","THBS1"
"5819","hg19","regulates","STAT3 regulates BCL2","STAT3","Metatargetome","false","regulates","STAT3 regulates BCL2","71","BCL2"
"5821","hg19","regulates","STAT3 regulates GJA1","STAT3","Metatargetome","false","regulates","STAT3 regulates GJA1","69","GJA1"
"5823","hg19","regulates","STAT3 regulates NUP62","STAT3","Metatargetome","false","regulates","STAT3 regulates NUP62","69","NUP62"
"5825","hg19","regulates","STAT3 regulates CXCL11","STAT3","Metatargetome","false","regulates","STAT3 regulates CXCL11","68","CXCL11"
"5827","hg19","regulates","STAT3 regulates GADD45B","STAT3","Metatargetome","false","regulates","STAT3 regulates GADD45B","68","GADD45B"
"5829","hg19","regulates","STAT3 regulates NFIL3","STAT3","Metatargetome","false","regulates","STAT3 regulates NFIL3","68","NFIL3"
"5831","hg19","regulates","STAT3 regulates IL2RA","STAT3","Metatargetome","false","regulates","STAT3 regulates IL2RA","67","IL2RA"
"5833","hg19","regulates","STAT3 regulates NR4A3","STAT3","Metatargetome","false","regulates","STAT3 regulates NR4A3","67","NR4A3"
"5835","hg19","regulates","STAT3 regulates SPARC","STAT3","Metatargetome","false","regulates","STAT3 regulates SPARC","67","SPARC"
"5837","hg19","regulates","STAT3 regulates FOS","STAT3","Metatargetome","false","regulates","STAT3 regulates FOS","66","FOS"
"5839","hg19","regulates","STAT3 regulates PIK3R1","STAT3","Metatargetome","false","regulates","STAT3 regulates PIK3R1","66","PIK3R1"
"5841","hg19","regulates","STAT3 regulates RARA","STAT3","Metatargetome","false","regulates","STAT3 regulates RARA","65","RARA"
"5843","hg19","regulates","STAT3 regulates SERPING1","STAT3","Metatargetome","false","regulates","STAT3 regulates SERPING1","62","SERPING1"
"5845","hg19","regulates","STAT3 regulates SHC1","STAT3","Metatargetome","false","regulates","STAT3 regulates SHC1","62","SHC1"
"5847","hg19","regulates","STAT3 regulates TIAL1","STAT3","Metatargetome","false","regulates","STAT3 regulates TIAL1","62","TIAL1"
"5849","hg19","regulates","STAT3 regulates CTGF","STAT3","Metatargetome","false","regulates","STAT3 regulates CTGF","61","CTGF"
"5851","hg19","regulates","STAT3 regulates HSPA8","STAT3","Metatargetome","false","regulates","STAT3 regulates HSPA8","60","HSPA8"
"5853","hg19","regulates","STAT3 regulates MAFF","STAT3","Metatargetome","false","regulates","STAT3 regulates MAFF","60","MAFF"
"5855","hg19","regulates","STAT3 regulates IRF2","STAT3","Metatargetome","false","regulates","STAT3 regulates IRF2","59","IRF2"
"5857","hg19","regulates","STAT3 regulates IGFBP4","STAT3","Metatargetome","false","regulates","STAT3 regulates IGFBP4","58","IGFBP4"
"5859","hg19","regulates","STAT3 regulates IGF2","STAT3","Metatargetome","false","regulates","STAT3 regulates IGF2","57","IGF2"
"5861","hg19","regulates","STAT3 regulates IRF9","STAT3","Metatargetome","false","regulates","STAT3 regulates IRF9","57","IRF9"
"5863","hg19","regulates","STAT3 regulates PDGFRA","STAT3","Metatargetome","false","regulates","STAT3 regulates PDGFRA","57","PDGFRA"
"5865","hg19","regulates","STAT3 regulates ATF3","STAT3","Metatargetome","false","regulates","STAT3 regulates ATF3","55","ATF3"
"5867","hg19","regulates","STAT3 regulates CCR1","STAT3","Metatargetome","false","regulates","STAT3 regulates CCR1","55","CCR1"
"5869","hg19","regulates","STAT3 regulates CD40LG","STAT3","Metatargetome","false","regulates","STAT3 regulates CD40LG","55","CD40LG"
"5871","hg19","regulates","STAT3 regulates AAAS","STAT3","Metatargetome","false","regulates","STAT3 regulates AAAS","54","AAAS"
"5873","hg19","regulates","STAT3 regulates VEGFA","STAT3","Metatargetome","false","regulates","STAT3 regulates VEGFA","54","VEGFA"
"5875","hg19","regulates","STAT3 regulates IGF1","STAT3","Metatargetome","false","regulates","STAT3 regulates IGF1","53","IGF1"
"5877","hg19","regulates","STAT3 regulates NR4A1","STAT3","Metatargetome","false","regulates","STAT3 regulates NR4A1","53","NR4A1"
"5879","hg19","regulates","STAT3 regulates RPS6KA2","STAT3","Metatargetome","false","regulates","STAT3 regulates RPS6KA2","53","RPS6KA2"
"5881","hg19","regulates","STAT3 regulates CD14","STAT3","Metatargetome","false","regulates","STAT3 regulates CD14","52","CD14"
"5883","hg19","regulates","STAT3 regulates COL1A1","STAT3","Metatargetome","false","regulates","STAT3 regulates COL1A1","52","COL1A1"
