; Name	ApoE4
; Species and nomenclature	Mus musculus, MGI symbols
; Motif collection	10K (9713 PWMs)
; Minimum NEScore	3.0
; Rank threshold for visualization	5000
; ROC threshold for AUC calculation (%)	0.03
; Minimum identity between orthologous genes	0.0
; Maximum false discovery rate (FDR) on motif similarity	0.001
; Motif rankings database	500bp upstream (7 species)
; Number of valid nodes	1105
; iRegulon version	iRegulon v1.3 (build: 2015-02-12)
# Rank	Motif id	AUC	NES	ClusterCode	Transcription factor	Target genes
1	yetfasco-655	0.036834	4.45462	M1		Zfp292,Cdc73,Enho,Gabrb3,Lrp6,Cntfr,Stt3a,Gse1,Rad54l2,Vstm2l,Lrrk2,Atp2b1,Slc2a1,Ssbp2,Kdm3a,Tle4,Epha6,Xrcc5,Napa,Csk,Cwf19l1,Cbll1,Lmo4,Sltm,Taf15,Slc35b1,Dmxl1,Lrrn3,Arhgap21,Rab8b,Spred1,Jun,Zfp180,Kctd1,B3galnt2,Hnrnph1,Gtpbp4,Rtn2,Pde1b,Lrp8,Letm2,Slc25a39,Sox5,Zdhhc21,Bad,Tcerg1l,Usp15,Cstf1,Ctxn2,Ino80b,Nin,Cdh18,Mapk14,Cnot2,Lyn,Trip12,Pinx1,Arid2,Qsox1,Dnajc21,Arntl,Nrp1,Cramp1l,Zfp318,1110001J03Rik,Arfgef1,Ndrg2,Rps12,Fam102a,Naa15,Foxp1,Bnip2,Mfap3l,Lzts2,Mef2a,H2afv,Rps6ka3,Eif2b3,C1qtnf5,Stag1,Tppp3,Dapk1,Nipbl,Mtmr12,Smug1,Sik2,Peg10,Zfp369,Slc24a4,E2f1,Drd2,Plcl2,Mettl17,Lhfpl5,Cnot6l,Ube2l6,Rictor,R3hdm1,Armc6,Bcor,Stx5a,Zcchc2,Trerf1,Zfp771,Strn,Emd,Zswim4,Dagla,Asap2,Rpl37,Kif2a,Rplp1,Rps10,Usp9x,Glrx5,Lrp3,Son,Sssca1,Xrn2,Cdk19,Stxbp5,Amacr,Sympk,Baz2a,Dmpk,Dennd4a,Edc4,Spred2,Hsd17b11,Plaa,Morn2,Mapkbp1,Tsc22d3,Fam136a,Ankhd1,Hivep2,Ino80,Arap2,Usp12,Akap5,Ptpre,Rock2,Tet2,Hist2h2be,Pdik1l,Dusp26,Foxp2,Cpeb1,Pds5a,Akt2,Mdk,Hspb6,Ccdc88c,Cdk8,Ccdc6,Tshz3,Fezf2,Phka2,Prkci,Slc23a2,Gmeb2,Ercc1,Smg7,Arpp21,Lrrc4,Pard3,H2afx,Ankrd27,Cd3eap,Abca1,St6galnac5,Ryk,Lpcat3,Prkag2
2	transfac_pro-M03177	0.0364492	4.36051	M2		Tbcc,Ssbp2,Syt1,Cnot1,Ino80,Rps29,R3hdm1,Spred2,0610011F06Rik,Cnot6l,Apbb2,Dhrs3,Arf3,D630045J12Rik,Scaf8,Hsd17b11,Caml,Lzts2,Pdik1l,Fezf2,Cdh11,Snx21,Olig2,Slc24a4,Atp2b2,Bcor,Stt3a,Tsr1,Armc8,Hivep2,Stag1,Tsc22d4,Parp8,Cntnap2,Rps6ka3,Prkag2,Morn2,Dusp15,Nrp1,Smg7,Sltm,Kdm3a,Pds5a,Nr3c1,Dapk1,Cdk19,Lrp6,Unc5d,Nipbl,Apln,Dyrk1a,Enho,Sema4a,Sema6a,Zfp609,Akap13,Hspb6,Vstm2l,Atp2b1,Lmo4,Srpk1,Nlgn1,Mapkbp1,Xrn2,Napa,Ucp2,Itga6,Scn8a,Sptlc2,Epha6,Cd82,Asap1,Zswim4,Bad,Cpeb1,Armc6,Taok1,Slc35b1,Sssca1,Xkr4,Ralgps2,Gse1,Nrd1,Nbea,Setdb1,Rhebl1,Arfgef1,G530011O06Rik,Cdyl2,Arpp21,Stx5a,Cyb561d2,Sik2,Ift27,Zcchc2,Dmxl1,Sox5,Pcsk7,St6galnac5,Stxbp5,Miat,Sympk,Asphd1,Cnot2,Sgip1,Setd5,Timm22,Dmxl2,Rpl37,Prph,Qtrtd1,Obsl1,Daam2,Rad54l2,Ndrg2,Srpk3,Pard3,Etv5,Dnajb2
3	transfac_pro-M03176	0.0361696	4.29213	M2		Tbcc,Ssbp2,Cnot1,Syt1,Ino80,R3hdm1,0610011F06Rik,Apbb2,Dhrs3,Olig2,D630045J12Rik,Sema6a,Pdik1l,Arf3,Snx21,Stt3a,Slc24a4,Cnot6l,Stag1,Nrp1,Cdh11,Armc8,Unc5d,Lzts2,Pds5a,Caml,Hsd17b11,Nr3c1,Scaf8,Lrp6,Tsr1,Atp2b2,Ralgps2,Bad,Ift27,Kdm3a,Hivep2,Nipbl,Cntnap2,Srpk1,Lmo4,Parp8,Cpeb1,Apln,Smg7,Akap13,Spred2,Sltm,Slc35b1,Rps6ka3,Tsc22d4,Ablim2,Itga6,Morn2,Xrn2,Prkag2,Bcor,Dapk1,Vstm2l,Atp2b1,Sema4a,Cnot2,Strn,Dyrk1a,Zfp609,Xkr4,Cd82,Sssca1,Enho,Scn8a,Qpctl,Cdk19,Dmxl1
4	transfac_pro-M03203	0.0354752	4.12228	M2		Bad,Stx5a,Nipbl,Stag1,Nbea,Atp2b2,Setd5,Rpl34,Slmap,Lmo4,Armc8,Slc35b1,Hspb6,Dact3,Syt1,Atxn7,Ssbp2,Etv5,Tjp1,St6galnac5,Zfp318,Cdk8,Mtmr12,Gabrb3,Cdh18,Ccdc88c,Ankrd44,Cdk19,Erf,C1qtnf5,Mib1,0610011F06Rik,Cpeb1,Dapk1,Slc25a39,Ino80b,Pfkfb3,Tceb1,Ankhd1,Fxyd1,Qpctl,Cited1,Ralgps2,Rhob,Srpk1,Crem,Mycbp2,Gm5577,Pnpla2,Cdh11,Snapc3,Actn1,2010204K13Rik,Glrx5,Cd151,Usp9x,Gse1,Asphd1,Akap13,D630045J12Rik,Apbb2,Snx21,Dgka,Mllt10,Atp5e,Zcchc2,Pcdh1,Mkl2,Sepp1,Rpl35,Pinx1,Stxbp5,Ubr5,Cnot1,Ufd1l,Zmym2,Morn2,Cdh22,Zfp771,Smad3,Usp15,Rnf165
5	homer-M01839	0.0351641	4.04618	M1		Cdc73,Lrp6,Zfp292,Stt3a,Cntfr,Gabrb3,Enho,Napa,Cwf19l1,Arhgap21,Gse1,Lmo4,Taf15,Rab8b,Slc2a1,Rtn2,Sltm,Atp2b1,Xrcc5,Tle4,Slc25a39,Lrrk2,Vstm2l,Jun,Ssbp2,Slc35b1,Lrp8,Zdhhc21,Epha6,B3galnt2,Cbll1,Usp15,Kdm3a,Tcerg1l,Dnajc21,Zfp180,Dmxl1,Cdh18,Lzts2,Rad54l2,Arid2,Gtpbp4,Letm2,Lyn,Mapk14,Fam102a,Rps12,Qsox1,Stag1,Csk,Lrrn3,Foxp1,Arntl,Zcchc2,Hnrnph1,Spred1,Mfap3l,Pde1b,Armc6,Plcl2,Tppp3,Drd2,E2f1,Nrp1,Rps10,Zfp369,Lrp3,Ankhd1,Sik2,Nin,Zfp318,H2afv,Cnot2,Strn,Cstf1,Rpl37,Ndrg2,Rps6ka3,Peg10,Sox5,Ctxn2,Ube2l6,1110001J03Rik,Cramp1l,Ino80b,Eif2b3,Mettl17,Asap2,Pinx1,Naa15,Dapk1,Stx5a,Mtmr12,Mef2a,Rictor,Usp12,Kctd1,Mdk,Bnip2,Lhfpl5,Bcor,Mapkbp1,R3hdm1,Dagla,Sympk,Dennd4a,Nipbl,Zfp771,Ptpre,Trerf1,Arfgef1,Lpcat3,Cpeb1,Ccdc88c,Dusp26,Amacr,Trip12,Slc24a4,Stxbp5,Hspb6,Lrrc4,Usp9x,Zswim4,Arap2,Edc4,Ryk,Bad,Akap5,Aldh1l1,Slc23a2,Tet2,Glrx5,Pds5a,Hist2h2be,Fam76b,St6galnac5,Phka2,Snca,Plaa,Prkag2,Kif2a,Cdk19,Arf3,Son,Foxp2,Akt2,Eml4,Ralgps2,Pip5k1a,Fkrp,Actn1,Pias1,Acvr1,Pdik1l,Spred2,Col5a1,Cnot6l,Rock2,Tshz3,Ercc1,Cd3eap,Dcbld2,Emd,Sumo2,Far2,Dmpk,Rhob,Ino80,Klf15,4933439C10Rik,Smg7,Prkci,Mettl2,Sgip1,Ccdc6,Nup98,Fbxo27,Wdr53,Ankrd27
6	transfac_pro-M01684	0.0349281	3.98846	M1		Cdc73,Lrp6,Enho,Gabrb3,Zfp292,Tle4,Stt3a,Slc2a1,Vstm2l,Slc25a39,Cntfr,Dnajc21,Cwf19l1,Napa,Epha6,Lmo4,Taf15,Arhgap21,Gse1,Letm2,Slc35b1,Rab8b,Jun,Xrcc5,Kdm3a,Ssbp2,Atp2b1,Lrrk2,Rtn2,Rad54l2,Cdh18,Csk,Cbll1,Lzts2,Sltm,Dmxl1,Zfp180,Foxp1,Lyn,Lrp8,Gtpbp4,Kctd1,B3galnt2,Zdhhc21,Nrp1,Nin,Lrrn3,Tcerg1l,Ankhd1,Qsox1,Arntl,Fam102a,Pde1b,Mapk14,Mfap3l,Usp15,Arid2,Rps12,Plcl2,Sik2,Hnrnph1,Armc6,Ctxn2,Stag1,Spred1,Sox5,1110001J03Rik,Zcchc2,Pinx1,Zfp771,Zfp318,Cstf1,R3hdm1,Cnot2,Trerf1,Zfp369,Tppp3,Foxp2,Drd2,Ndrg2,Eif2b3,Ino80b,Rpl37,Strn,Naa15,Ube2l6,Peg10,Bcor,H2afv,Glrx5,Mettl17,Bad,Dapk1,Sympk,Lhfpl5,Mtmr12,Cramp1l,Nipbl,Mdk,Hspb6,Dennd4a,Rps10,Bnip2,Stxbp5,E2f1,Stx5a,Nrd1,Zswim4,Nup98,Ptprj,Usp12,Mapk8,Rps6ka3,Mef2a,Son,Spred2,Asap2,Trip12,Lrp3,Cdk19,Cdr2l,St6galnac5,Amacr,Xrn2,Ltbp1,Rictor,Slc24a4,Kif2a,Cpeb1,Tshz3,Dmpk,Slc23a2,Lpcat3,Ccdc6,Arfgef1,Prkag2,Ankrd27,Mapkbp1,Plaa,Prkci,Pip5k1a,Eml4,Akap5,Fam76b,Acvr1,Usp9x,Pias1,Edc4,Ino80,Ptpre,Sgip1,Mettl2,Lrrc4,Ercc1,Dagla,Cnot1,Cnot6l,Morn2,Phka2,Arap2,Ralgps2,Cd3eap,Ccdc88c,Pdik1l,Dusp26,Aldh1l1,Hist2h2be,Mkx,Slc4a7,Tet2,Lrba,Ecel1,Fam136a,Rock2,Dnajb2,Akt2,Rhob,Gria3,Col5a1,Emd,Snca,2210018M11Rik,Far2,Nav1,Baz2a,Etv5,Smg7,Zfp335,Ddit4,Actn1,Dock7,Ryk,Tceb1,Slmap,Pard3,Arf3,Fezf2,Smox,Wdr53,Pds5a,H2afx,AI314180,Tsc22d3,Sumo2,Smug1,Snx21,Ppp2r2a,Fkrp,Hivep2,Neto1,Maged2,Mast3,Stim2,Sema6a,Dhrs3,Eea1,Map4k3,Akap13,Gpam,Otud4,Pold4,Nuak1,Mettl5,Etv6,Rc3h2,Rnaseh2c,Amigo2,Pcsk7,Dcbld2,Phtf2,C1qtnf5,Adcy9,Kcnk12,Scaf8,Sssca1,Rnf111,Cpt1a,Klf15,Ubr5,Rsf1,Cited1,Mdc1,Robo2,Acap2,Unc45a,Iqgap2,Tmem158,D630045J12Rik,Cdk8,Fbxo27,Slc11a2,Ylpm1,Tjp1,Stx2,Zfp14,Gm5577,Zfp445,Rps29,Rplp1,Snapc3,Wtip,Epha4,Snta1,Prkg1,Phf8,1110008P14Rik,Sap30l,Plxna3,Paqr8,4933439C10Rik,Gnl3,Fam188a,Tpp2,Dnajc13,Stxbp5l,Bcl11a,Sptlc2,Arpp21,1810022K09Rik,Gmeb2,Prickle1,Nol10,Tasp1,Rell2,Spag5,Ly6h,Mrpl52,Hsd17b11,Pcdh1,Arnt,Atp2b2,Nvl,Kcnh5,1110032F04Rik,Zcchc12,Uqcr11,Fam171a1,Srpk1,Herc2,Gjb6,Lrfn2,Nudt17,Pex16,Tfam,Zzz3,Sdc4,Gria2,Celf1,Smad3,Prrg3,Olig2,Phospho1,Unc5d,Trim33,Resp18,Nbea,Taok1,Chchd5,Ubr3,Usp29,Scn8a,Acy1,Rps6,Apbb2,Uggt2,Tbc1d1,Trim2,Gls,Uqcrq,Ankmy2,Cntnap2,6430571L13Rik,Grcc10,Mrpl54,Cdh11,Sdhaf1,Atp5e,Mfsd7b,Sec23a,Tsr1,Mrps16
7	jaspar-MA0320.1	0.034871	3.97449	M1		Zfp292,Cdc73,Lrp6,Cntfr,Stt3a,Enho,Slc2a1,Gabrb3,Ssbp2,Napa,Lmo4,Cwf19l1,Gse1,Xrcc5,Vstm2l,Rab8b,Cbll1,Arhgap21,Atp2b1,Dmxl1,Tle4,Lrrk2,Jun,Rtn2,Slc35b1,Taf15,Epha6,Rad54l2,Sltm,Gtpbp4,Zfp180,Lrp8,Kdm3a,Cdh18,Hnrnph1,Lrrn3,Arid2,Lyn,Letm2,Cnot2,Tcerg1l,Zdhhc21,Slc25a39,Fam102a,Nin,Lzts2,Ino80b,Csk,Rps6ka3,Spred1,Arntl,B3galnt2,Mfap3l,Foxp1,Arfgef1,Pinx1,Nrp1,Qsox1,Usp15,Mapk14,Cstf1,Plcl2,Ctxn2,Dnajc21,Stag1,Tppp3,Peg10,Mef2a,Zfp318,Rps12,Armc6,Bnip2,Pde1b,Zfp369,Kctd1,H2afv,Cnot6l,Ndrg2,Sox5,Mettl17,Rps10,Lhfpl5,Drd2,Zcchc2,Lrp3,Bad,Eif2b3,Trerf1,E2f1,R3hdm1,1110001J03Rik,Stx5a,Ube2l6,Rictor,Stxbp5,Dagla,Mtmr12,Zswim4,Nipbl,Sik2,Dennd4a,Trip12,Naa15,Bcor,Dapk1,Glrx5,Asap2,Pds5a,Sympk,Amacr,Cramp1l,Ccdc88c,Ankhd1,Dusp26,Ptpre,Rpl37,Mdk,Strn,Usp12,Hist2h2be,Phka2,Slc24a4,Ccdc6,Usp9x,Ryk,Cdk19,Arap2,Akap5,Smug1,Xrn2,Tshz3,Slc23a2,Aldh1l1,Edc4,Hspb6,Ercc1,Lrrc4,Nup98,Arpp21,Hivep2,Fam136a,Son,Tet2,Spred2,Gmeb2,Wdr53,Cpeb1,Pdik1l,Emd,Fkrp,Zfp771,Akt2,Klf15,Snca,Tsc22d3
8	transfac_pro-M02873	0.0345809	3.90353	M3	Irf5,Irf4,Irf6	Itga6,Rnf111,Zfp292,Actn1,Obsl1,Prkg1,Iqgap2,Kdm3a,Foxp1,Dynlrb1,Bad,Lpcat3,Nrp1,Gpatch8,Gm561,Tppp3,Pcdh1,Ssh2,Rc3h2,Zfp609,Pinx1,Lmo4,Smg7,Cpd,Rsf1,2610203C20Rik,Mcts1,Kcnh7,Otud4,Mkl2,Kctd1,Mapk14,Rhbdd3,Runx1t1,Foxp2,Ubr2,Lzts2,Acy1,Ddx50,Slc11a2,Cntnap2,Pold4,Sytl2,Ly6h,Nrd1,Mrpl52,Ubr3,Nlgn1,Baz2b,Aga,Nipbl,Rps6ka3,Acvr1,Lace1,Ssbp2,Dact3
9	transfac_pro-M03172	0.0343599	3.84949	M2		Bad,Stag1,Nbea,Lmo4,St6galnac5,Nipbl,Rpl34,Slmap,Stx5a,Atp2b2,Syt1,Dact3,Cdk8,Etv5,Ankrd44,Cdk19,Atxn7,Ssbp2,0610011F06Rik,Mib1,Cdh18,Ino80b,Gabrb3,Pfkfb3,Ankhd1,Gm5577,Mtmr12,Cited1,Hspb6,Akap13,Cnot1,Ccdc88c,Slc35b1,Usp15,Cdh11,Zfp318,Setd5,Tceb1,Erf,Morn2,Fxyd1,Cpeb1,Dyrk1a,Srpk1,2010204K13Rik,Zcchc2,Snapc3,Dapk1,Actn1,Glrx5,Zmym2,Pcdh1,Stxbp5,Ufd1l,Sepp1,Gse1,Armc8,Slc25a39,Rpl35,Arap2,Mkl2,Rhob,Qpctl,Rnf165,Cyb561d2,Rps6ka3,Nup98,Cntfr,Zfp771,Slc24a4,Sf3b5,Apoe,Dagla,Ubr5,Zfp369,Arfgef1,Dgka,Amigo2,Xkr4,Zfp644,Csk,Epha6,Stat6,Tjp1,Usp9x,Mef2a,Abi1,Cnot6l,Ltbp1,Usp29,Ralgps2,Snx21,Herc2,Rsf1,Kctd1,Thoc2,Tfam,Hpca,Cramp1l,Ino80,Atp5e,Kdm3a,Pnpla2,Acy1,Runx1t1,Otud4,Vstm2l,Prph,H2afv,Dmpk,Mllt3,Agfg1,Cacnb4,Wdfy1,Dhrs3,Pinx1,Mycbp2,Nfkbil1,Rtf1,Nfib,C1qtnf5,Rnf111,Plcl2,Cdr2l,Tbcc,Arf3,Lgi4,Nrd1,Asphd1,Pim3,Nedd4l,Usp27x,Lzts2
10	transfac_pro-M03200	0.0342848	3.83111	M2		Bad,Stx5a,Armc8,Atp2b2,Setd5,Stag1,Nbea,St6galnac5,Hspb6,Tjp1,Nipbl,Atxn7,Rpl34,Erf,Cnot1,Ssbp2,Tbcc,Dapk1,Zcchc2,Slc35b1,Mtmr12,Zmym2,Cpeb1,Syt1,Crem,Ralgps2,Kdm3a,Lmo4,Apbb2,Qpctl,D630045J12Rik,Cdh18,Ankhd1,Usp15,Sltm,Glrx5,Etv5,Srpk1,Rps29,Mib1,Mllt10,Arf3,Ino80,Dgka,Ankrd44,Akap13,C1qtnf5,Cited1,Dact3,Dyrk1a,Zfp318,Mycbp2,Slc25a39,Fezf2,Gabrb3,Ilf2,Hnrnph1,Cd151,Ccdc88c,Cyb561d2,Atp5e,Ino80b,Coch,Smad3,Dhrs3,Usp9x,Cnot6l,2010204K13Rik,Sema5b,Cntfr,Rhob,0610011F06Rik,Morn2,Itga6,Lzts2,Rpl35,Gm5577,Pdik1l,Slmap,Cdk8,Nup98
