; Name	Sheet1
; Species and nomenclature	Mus musculus, MGI symbols
; Motif collection	10K (9713 PWMs)
; Minimum NEScore	3.0
; Rank threshold for visualization	5000
; ROC threshold for AUC calculation (%)	0.03
; Minimum identity between orthologous genes	0.0
; Maximum false discovery rate (FDR) on motif similarity	0.001
; Motif rankings database	500bp upstream (7 species)
; Number of valid nodes	405
; iRegulon version	iRegulon v1.3 (build: 2015-02-12)
# Rank	Motif id	AUC	NES	ClusterCode	Transcription factor	Target genes
1	taipale-NACTTCCGSCGGAARMN-ELK1-full	0.0389437	4.28951	M1	Elk1	Srp19,Ap2s1,Dcaf15,Acer2,Mtif2,Zdhhc4,Traf7,Per1,Cttnbp2nl,Dpy30,Fubp3,Pex11a,Ufd1l,Rps6,Ednrb,2810403A07Rik,Scyl3,Rpl37,Fam96b,Sirt7,Zfp617,Klhl20,Spag5
2	transfac_pro-M01298	0.03711	3.95367	M2	Mecp2	Ier5l,Trib1,Jun,Gin1,Hmga1,Cdk19,Tia1,0610011F06Rik,Per1,Hmga1-rs1,Txnip,Grk5,Plxna3,Acer2,Zfpm2,Zfp428,Cpeb2,Son,Lrp6,Sgk1,Tiparp,Cttnbp2nl,Ltbp1,Retsat,Rps6kb2,Mrpl52,Mtf2,Mettl17,Mrps10,Frmd4b,Fosl2,Mfsd7b,Cercam,Phf13,Med12,Mtif2,Map4k3,Prkag2,Etfb,Tmem216,Slc11a2,Sirt7,Tial1,Cebpa,Ccdc3,Spag5,Cpt1a,Srgap2,Dgat1,Tsc22d3,Sh3bp1,Egr4,Dph2,Pias1,Kcnip4,Hes1,Stmn4,Bet1,Ubp1,Apold1,Zfp346,Nhlrc3,Slc25a37,Ednrb,Ddit4,Rsph9,Samhd1,Taf1,Fgfr1,Mcts1,Clvs1,Rpl37,Cdkn1a,Sox8,Rps6,Gmeb2,Lrba,Fam136a,Etv6,Rbms1,Arhgef40,Slc9a5,Rbm33,Ncapd2,Klhl29,Tmem181a,Acaa2,Zbtb2,Zfc3h1,Stxbp5,Lsg1,Dpysl2,Whamm,Rab3b,Pcdhb17,Cdh24,Ndst2,Parp8,Pomc,Tmtc4,Cd2ap,Commd10,Hmgcs2,Prpf8,Nfil3,Arnt,Slc14a1,Adcy9,Ints2,Bbc3,Dpy30,Rbm42,Pdk4,Cdyl2,Fam57a,Sqrdl,Zmym3,Cpne1,Arid5a,Scyl3
3	yetfasco-1928	0.0365729	3.85529	M2	Yod1	Zbtb2,Txnip,Rpl37,Prkg1,Fgfr1,Tmem181a,Gmppa,Mfsd7b,Slc15a2,Rsph9,Tbc1d2b,Retsat,Grk5,Pdss1,Kcnip4,Hes1,Scyl3,Fbxl15,Gpx3,Slc25a37,Zfp346,Pias1,Rab3b,Ppil1,Rbm26,Crybb1,Syne2,Pcdhb17,Ndp,Ccdc106,Mafk,Usp40
4	transfac_pro-M00619	0.0354743	3.65408	M3	Alx4	Jun,Lrba,Hsd11b1,Fosl2,Grk5,Rsph9,Kcnd1,Apold1,Ddit4,Tmem181a,Ubp1,Frmd4b,Ier5l,2010111I01Rik,Fbxl15,Cdh24,Ltbp1,Adnp2,Prkg1,Zmym3,Vip,Kcnip4
5	jaspar-MA0273.1	0.0352885	3.62005	M4		Pomc,Med12,Hmga1,Tia1,Plxna3,Ltbp1,Ier5l,Slc11a2,Jun,Nhlrc3,Arhgef40,Etv6,Ncapd2,Hmga1-rs1,Rps6kb2,Rbms1,Frmd4b,0610011F06Rik,Phf13,Dph2,Sirt7,Ap2s1,Tial1,Ssh2,Retsat,Hes1,Son,Trib1,Kcnip4,Mrpl52,Gtf2h4,Sec11a,Prkg1,Srgap2,Taf1,Slc25a37,Mtf2,Gabra2,Cpne1,Cpeb2,Lig3,Slc40a1,Slc9a5,Cdk19,Ednrb,Scyl3,Acaa2,Parp8,Rbm26,Chchd7,Cdh24,Zfp346,Fgfr1,Trmt6,Map4k3,Per1,Mtif2,Cln3,Gtf2b,Gmppa,Arnt,Taf6,Kctd18,Tmem181a,Eps8l1,Sssca1,Tmem120a,Lsg1,Ly6h,Ezr,Txnip,Klhl20,Zdhhc7,Wdr92,Gin1,Ift27,Wdr90,Arid5a,Slc27a2,Il10rb,Fam136a,Qtrtd1,Ubp1,Srp19,Clvs1,Coro6,Ppil1,Whamm,Grk5,Acss1,Nr4a3,6330403K07Rik,Mrps10,Sgk1,0610007P14Rik,Sec61g,Sqrdl,Cebpa,Mrpl36,Zmym3,Clic6,Nop14,Cables1,Pdss1,Zdhhc21,Slc14a1,Tjap1
6	yetfasco-1111	0.0349896	3.56531	M5		Ephb2,Lrba,Gabra2,Tmem62,Cyp51,Taf6,Mtf2,Mcoln1,Son,Tmem216,Sqle,Cercam,Clvs1,Cdk19,Tbce,Cad,Atxn2l,Dedd2,Arnt,Mrps33,Dcaf15,Adcy9,Cttnbp2nl,Lsg1,Tmem120a,Tmem181a,Mrpl52,Pcdhb17,Man2c1,Ppp1r3c,Zfp668,Rpl37,Supv3l1,Tbc1d2b,Retsat,Clic6,Slc11a2,Enpp4,Rhou,0610011F06Rik,Pomc,Akap8,Sgk1,Tia1,Dgkq,Zfc3h1,Dph2,Rps6,Traf7,Slc9a5,Srp19,Sox8,Ubr3,Zfp810,Apold1,Mllt3,Fam160b2,Taf1,Tigd2,Sec61g,Ndst2,Sult1a1,Bbc3,Fnbp4
7	homer-M01805	0.0346988	3.51205	M1		Med12,Gmeb2,Trmt6,Srp19,Cpeb2,Traf7,Mtif2,Acer2,Tubgcp3,Per1,Rpl37,Kcnip4,Gin1,Ubp1,Cdk19,Dpy30,Zfc3h1,Mcoln1,Mrpl52,Ncapd2,Sgk1,Amt,Grk5,Rbm26,Zdhhc4,Srgap2,Ift27,Mtf2,Cttnbp2nl,Mrps10,Prkg1,Zdhhc21,Sox8,Dlg5,3110082I17Rik,Ltbp1,Prkag2,Pomc,Samd10,Arnt,Rps6kb2,Lsg1,Ly6h,Lrp6,Tial1,Rbm33,Helq,Ppil1,Tbc1d2b,Ndp,Adcy9,Asap2,Mllt3,Fubp3,Arhgef40,Slc40a1,Ufd1l,Ednrb,Trmu,Ap2s1,0610007P14Rik,Acaa2,Klhl20,Tmem181a,Slc11a2,Mfsd7b,Slc6a6,Zfp346,Sec11a,Sirt7,Tmtc4,Ssh2,Fam76b,Txnip,Syne2,Son,Nol11,2810403A07Rik,Ccdc84,Fbl,Zfpm2,Taf6,Pdss1,Spag5,Tia1,Ggcx,Ephb2,Magee2,Pex11a,Tbce,Dcaf15,Frmd4b,Nat10
8	swissregulon-ZNF143.p2	0.0346422	3.5017	M4	Zfp143	Ap2s1,Dgat1,Tial1,Nop14,Cdk19,Gtf2h4,Phf13,Qtrtd1,Usp40,Rbl2,Inpp5b,Tubgcp3,Gmppa,B230118H07Rik,Dph2,Bet1,Rps6kb2
9	yetfasco-1171	0.0345251	3.48025	M1		Tia1,0610011F06Rik,Inpp5b,Sgk1,Cdh24,Frmd4b,Ntrk3,Helq,Zfp668,Ltbp1,Ndp,Kcnip4,Sec11a,3110082I17Rik,Cables1,Fosl2
10	hdpi-TIMM8A	0.034311	3.44104	M6		Ppp1r3c,Mafk,Sppl3,Jun,Mcoln1,Cstf1,Son,Klf10,Sgk1,Tjap1,Cyp51,Fubp3,Cln3,Srgap2,Ddit4,Tmem62,Polg,Tmem181a,Taf1,Rbm26,Pias1,Spata13,Atxn2l,Zmym3,Mrps10
