; Name	Sheet1
; Species and nomenclature	Mus musculus, MGI symbols
; Motif collection	10K (9713 PWMs)
; Minimum NEScore	3.0
; Rank threshold for visualization	5000
; ROC threshold for AUC calculation (%)	0.03
; Minimum identity between orthologous genes	0.0
; Maximum false discovery rate (FDR) on motif similarity	0.001
; Motif rankings database	500bp upstream (7 species)
; Number of valid nodes	2427
; iRegulon version	iRegulon v1.3 (build: 2015-02-12)
# Rank	Motif id	AUC	NES	ClusterCode	Transcription factor	Target genes
1	homer-M01788	0.0340102	4.0092	M1	Myc,Max,Usf2,Mycn,Bhlhe40,Mycs,Arntl,Hey1,Olig2,Clock,Id1,Hey2,Mnt,Npas2,Hes6,Olig1,Heyl,Arntl2,Arnt2,Creb3l1	Amdhd2,Ptprs,G6pc3,Fam118b,Dvl2,Sirt1,Atg3,Slc35a5,Cdk4,Cnnm1,Mthfr,Cplx3,Eif5a2,Ilf3,B3galt2,Dhx35,Igf2r,Atp6v1h,Trim46,Cln3,Dnajb9,Mcoln1,Tle3,Sppl3,Ipo7,E130012A19Rik,Mfsd1,Tle6,Foxred2,Tef,Usp2,Kcnh4,Actn2,Arhgap12,Snrpa,Bcas3,Tug1,Napa,Morc2a,Ccdc88c,Rragb,Rrp12,Rusc1,Scamp3,Supv3l1,Stxbp2,Timm8a1,H2afz,Polr3d,Ampd2,Picalm,Fnip1,Wdr46,Slc5a6,Snx5,Aldh18a1,Dnmt3a,Cd164,Cpeb1,1110059E24Rik,Lig3,Atg5,Mnt,Dyrk1b,Pou3f1,Lfng,Bnip3l,Sugp2,Polr3a,Cfl2,Srm,Hnrnpa3,Ppapdc1a,Clcn7,Inf2,Fjx1,Chrm1,A230072C01Rik,Nrarp,Slc39a14,Orc4,Bhlhe41,Socs2,Nab2,Acin1,Pcgf2,Cbx5,Tmem47,Gpm6b,Dhx37,Gm10052,Ehmt2,Nr1d1,Ap1s2,Rhebl1,Pde4a,Commd8,Gdi2,Hdac2,Mapre1,Bhlhe40,Kpna4,Crocc,Nckap5l,Mepce,Mlxip,Ddx3x,Per3,Elovl5,Anln,Hsf4,Lrfn4,Sh2d5,Ipo13,Per1,St3gal1,Pld3,2310022A10Rik,Mllt1,Ppp1r14b,Prkcsh,Slc12a5,Hdgfrp2,Mms19,Khsrp,Coro7,Plekhg3,Sumf1,Sez6l2,Ppp2r3c,Spns2,Ptbp1,Wwp2,Rbbp4,Cdk5r1,Ddn,Fmr1,Igsf9,Sik3,Rasgrp2,Kdm4b,Rara,Sipa1l3,Lcorl,Apc2,Pdgfb,Lef1,Ppp1r3c,Pde1b,Cthrc1,Foxp4,Zfp62,Ulk3,Gmfb,Rab5a,Rapgef3,Rps6ka4,Tmem181a,Rnf44,Mex3d,Lactb2,Mybbp1a,Gnb2,Slc16a1,Vps37b,Lrtm2,Gigyf1,Tmem131,Ccdc126,Islr2,Polg,Cnih3,Clcn2,Slc30a3,Arx,Abcb6,Dhx33,Wdr81
2	yetfasco-1551	0.0337145	3.94175	M1	Arnt,Myc,Max,Mycn,Arnt2,Arntl,Olig2,Clock,Hey1,Hey2,Mnt,Id1,Npas2,Hes6,Olig1,Heyl,Arntl2,Mycs	Amdhd2,Dvl2,Ptprs,G6pc3,Fam118b,Sirt1,Atg3,Slc35a5,Atp6v1h,Cdk4,Ilf3,Mthfr,Cnnm1,Cplx3,Picalm,Igf2r,Sppl3,Eif5a2,Cln3,Nr1d1,B3galt2,Dhx35,Tef,Mcoln1,Foxred2,Arhgap12,Mfsd1,Dnajb9,Trim46,Bcas3,Tle6,Napa,Ipo7,Actn2,Tle3,E130012A19Rik,Snrpa,Usp2,Rragb,Dyrk1b,Rusc1,Tug1,Morc2a,Nab2,Chrm1,Ccdc88c,H2afz,Rrp12,Kcnh4,Supv3l1,Wdr46,Scamp3,Lfng,Rps6ka4,Timm8a1,Fnip1,Mepce,Snx5,Bhlhe41,Dnmt3a,Cfl2,Hnrnpa3,Cd164,Hsf4,Polr3a,Ppapdc1a,A230072C01Rik,Stxbp2,1110059E24Rik,Socs2,Polr3d,Anln,Ampd2,Pou3f1,Pde4a,Cpeb1,Clcn7,Atl2,Bnip3l,Atg5,Pld3,Slc5a6,2310022A10Rik,Aldh18a1,Nckap5l,Sugp2,Cbx5,Mnt,Bhlhe40,Lig3,Orc4,Dgat2,Gm10052,Rhebl1,Kpna4,Mms19,Gdi2,Mapre1,Lrfn4,Srm,Gpm6b,Hdgfrp2,Spns2,Sik3,Kdm4b,Rara,Ppp1r3c,Prkcsh,Ptbp1,Wwp2,Bnip3,Per1,Abcb6,Dhx37,Ehmt2,Fjx1,Inf2,Elovl5,Pcgf2,Rbbp4,Ddx3x,Ipo13,Hdac2,Tmem47,Slc39a14,Mllt1,Khsrp,Crocc,Ap1s2,Gmfb,Commd8,Nrarp,Coro7,Fmr1,Per3,Ppp2r3c,Ppp1r14b,Tbc1d13,Rnf44
3	homer-M00264	0.0330834	3.79779	M1	Mycn,Mnt	Amdhd2,Ptprs,G6pc3,B3galt2,Cplx3,Tef,Bcas3,Eif5a2,Dvl2,Fam118b,Cnnm1,Snx5,Rusc1,Cln3,Cdk4,Ccdc88c,Foxred2,Ilf3,Trim46,Ipo13,Atp6v1h,Arhgap12,Atg3,Slc35a5,Dnajb9,Tle6,Supv3l1,Spns2,Dhx35,Ipo7,Mepce,Bhlhe40,Actn2,Snrpa,Sppl3,Napa,Sirt1,Mcoln1,Mthfr,Mfsd1,Cdk5r1,Ikzf4,Usp2,Picalm,Arx,Fnip1,Scamp3,Tle3,Fjx1,Ccdc126,Cpeb1,Pde4a,Igf2r,Bnip3l,Timm8a1,Kdm4b,Kpna4,E130012A19Rik,Bhlhe41,Chrm1,H2afz,Orc4,Ptbp1,Cdc73,Slc5a6,Nr1d1,Ppapdc1a,Wdr46,Slc12a5,Tmem131,Hdac2,Tug1,Kcnh4,1110059E24Rik,Cd164,Mapre1,Morc2a,Ppp1r3c,Dnmt3a,Dgat2,Hnrnpa3,Cfl2,Mms19,Rragb,Pcyox1l,Lrtm2,Dbp,Mybbp1a,Dhx37,Rrp12,Plekhg3,Igsf9,Pcgf2
4	jaspar-PF0002.1	0.0328582	3.74642	M1	Usf1,Myc,Max,Arnt,Bhlhe40,Srebf1,Arntl,Olig2,Hey1,Clock,Atf3,Id1,Hey2,Mnt,Npas2,Olig1,Hes6,Heyl,Arntl2,Arnt2,Mlx,Srebf2,Mycs	Amdhd2,Ptprs,Dvl2,Cdk4,Atg3,Slc35a5,Atp6v1h,G6pc3,Sirt1,Ilf3,Cnnm1,Fam118b,Cln3,Mthfr,Eif5a2,Mcoln1,Igf2r,B3galt2,Foxred2,Sppl3,Dhx35,Tef,Mfsd1,Cplx3,Actn2,Arhgap12,Rragb,E130012A19Rik,Napa,Tle6,Snrpa,H2afz,Dnajb9,Picalm,Dyrk1b,Rusc1,Scamp3,Supv3l1,Nckap5l,Trim46,Morc2a,Bcas3,Tug1,Nr1d1,Ipo7,Ccdc88c,Rrp12,Dnmt3a,Snx5,Timm8a1,Usp2,Chrm1,Cbx5,Orc4,Rasgrp2,Gm10052,Wdr46,Elovl5,Tle3,Fnip1,Lfng,Kcnh4,Sumf1,Cfl2,1110059E24Rik,Slc5a6,Mllt1,Hnrnpa3,Polr3a,Ddx3x,Pld3,Bnip3l,2310022A10Rik,Ppapdc1a,Spns2,Cpeb1,Cd164,Mepce,Bhlhe41,Mnt,Gpm6b,Mex3d,Cdk5r1,Ptbp1,Bhlhe40,Mms19,Anln,Socs2,Gmfb,Bnip3,Atl2,Hdac2,Stxbp2,Pde4a,Rab5a,Inf2,Islr2,Pou3f1,Acin1,Pcgf2,2510039O18Rik,Coro7,Ampd2,Rara,Tmem47,Lrfn4,Srm,Polr3d,Mapre1,Kpna4,Ehmt2,Ddn,Sik3,A230072C01Rik,Ppp2r3c,Lig3,Rhebl1,Sugp2,Zfp62,Fjx1,Aldh18a1,Rnf44,Slc39a14,Commd8,Vps37b,Tmem181a,Rbbp4,Lcorl,Ppp1r14b,Nab2,Atg5,Lactb2,Gnb2,Ccdc126,Clcn7,Ipo13,Hdgfrp2,Sipa1l3,Ap1s2,Prkcsh,Per1,Ppp1r3c,Wwp2,Sh2d5,Kdm4b,Khsrp,Slc12a5,Ulk3,Cct8
5	homer-M01514	0.0328042	3.73409	M1	Mycn,Myc,Max,Usf2,Mycs,Arntl,Hey1,Olig2,Clock,Id1,Hey2,Mnt,Npas2,Olig1,Hes6,Heyl,Arntl2,Arnt2	Amdhd2,Ptprs,G6pc3,Fam118b,Cplx3,Cnnm1,Cdk4,B3galt2,Tef,Dnajb9,Trim46,Atp6v1h,Tle6,Ilf3,E130012A19Rik,Dvl2,Eif5a2,Dhx35,Mthfr,Ipo7,Tle3,Foxred2,Usp2,Bcas3,Ccdc88c,Actn2,Sppl3,Rusc1,Kcnh4,Cln3,Lfng,Rrp12,Atg3,Slc35a5,Wdr46,Snx5,Stxbp2,Sirt1,Polr3d,Mfsd1,Timm8a1,Napa,Fnip1,Ampd2,Cpeb1,Polr3a,Scamp3,Supv3l1,Slc5a6,Nab2,Aldh18a1,Snrpa,Dnmt3a,Bnip3l,Sugp2,Atg5,Mnt,A230072C01Rik,1110059E24Rik,H2afz,Mcoln1,Ppapdc1a,Lig3,Pou3f1,Slc12a5,Dyrk1b,Mepce,Hsf4,Arhgap12,Nckap5l,Dhx37,Gdi2,Bhlhe41,Pde4a,Clcn7,Srm,Mapre1,Fjx1,Inf2,Nrarp,Kpna4,Slc39a14,Cbx5,Hdac2,Per1,Ipo13,Hdgfrp2,Cd164,Gm10052,Picalm,Spns2,Mllt1,Chrm1,Orc4,Hnrnpa3,Crocc,Tug1,Plekhg3,Morc2a,Acin1,Sez6l2,Rragb,Tmem47,Ppp1r14b,Gpm6b,Cfl2,Bhlhe40,Igsf9,Pcgf2,Socs2,Elovl5,Mms19,Kdm4b,Mlxip,Ehmt2,Igf2r,Ap1s2,Commd8,Cnih3,Rhebl1,Ccdc126,St3gal1,Sik3,Rps6ka4,Nr1d1,Dgat2,Lrtm2,Bnip3,Sh2d5,Foxp4,Ulk3,Gmfb,Cdk5r1,Ddn,Rnf44,Atl2,Rara,Anln,Lrfn4,Coro7,Per3,Abcb6,Mex3d,Rasgrp2,Ptbp1,Arx,Ppp2r3c,Lcorl,Tubg2,Wdr81,Tmem132e,Tmem181a,Apc2,Sumf1,Dhx33,Vps37b,Zfp62,Prkcsh,Khsrp,Sipa1l3,Gigyf1
6	hdpi-USF2	0.032785	3.72972	M1	Usf2	Amdhd2,Dvl2,Ptprs,Sirt1,Ilf3,Atg3,Slc35a5,Cnnm1,Fam118b,Cdk4,Cln3,G6pc3,Mfsd1,Atp6v1h,Sppl3,Igf2r,Cplx3,Foxred2,Kcnh4,Nr1d1,Mthfr,Mcoln1,Eif5a2,Napa,Tef,Dhx35,Actn2,Ccdc88c,B3galt2,Morc2a,Tug1,Arhgap12,Nckap5l,E130012A19Rik,Nfix,Picalm,Bhlhe40,Dnajb9,Snrpa,Ctdp1,Chrm1,Bhlhe41,Islr2,Rnf165,Dyrk1b,Supv3l1,Grin1,Usp2,Cbx5,Gm10052,Tle6,Bcas3,Nab2,Scamp3,Fnip1,Bnip3l,Rragb,Ptbp1,Bnip3,Rusc1,H2afz,Stxbp2,Trim46,Ipo7,Slc5a6,Dnmt3a,Ralgds,Timm8a1,1110059E24Rik,Elovl5,Tle3,Cdc73,Lfng,Cd164,Snx5,Hnrnpa3,Ddn,Rrp12,Orc4,Rasgrp2,Wdr46,Sik3,Cpeb1,Mepce,Lrfn4,Ppapdc1a,Ddx3x,Per1,Spns2,Rab33a,Wwp2,Mms19,Cfl2,Socs2,Khsrp,Polr3a,Abcb6,Prkcsh,Lig3,Mnt,Mink1,Sumf1,Per3,Tbc1d13,Ubap2,Anln,Gdi2,Slc12a5,Rhebl1,Ehmt2,Pld3,2310022A10Rik,Pde4a,Crmp1,Dbp
7	yetfasco-359	0.0326255	3.69334	M1	Myc,Max,Mycn,Usf2,Arnt,Mycs,Arntl,Hey1,Olig2,Clock,Id1,Hey2,Mnt,Npas2,Hes6,Olig1,Heyl,Arntl2,Arnt2	Amdhd2,Ptprs,G6pc3,Dvl2,Fam118b,Cdk4,Cplx3,Atg3,Slc35a5,Ilf3,Cnnm1,Foxred2,Atp6v1h,Sirt1,Tef,Mfsd1,Eif5a2,B3galt2,Mthfr,Cln3,Igf2r,Dnajb9,Dhx35,Sppl3,Trim46,Arhgap12,E130012A19Rik,Mcoln1,Actn2,Bcas3,Tle6,Tle3,Chrm1,Ipo7,Usp2,Rusc1,Ccdc88c,Scamp3,Kcnh4,Snrpa,Napa,Nab2,Rrp12,Picalm,Wdr46,Ddn,Cpeb1,Stxbp2,Bhlhe40,Dyrk1b,Bhlhe41,Snx5,Polr3a,Supv3l1,Slc5a6,Timm8a1,Slc12a5,Lfng,Polr3d,Cdc73,Bnip3l,H2afz,Tug1,Morc2a,Dnmt3a,Cbx5,Ppapdc1a,Fnip1,Gm10052,Mnt,Nfix,Mepce,Pde4a,Pou3f1,Ampd2,Nckap5l,1110059E24Rik,Hsf4,Sugp2,Cd164,Per1,Hnrnpa3,Lig3,Aldh18a1,Atg5,A230072C01Rik,Ptbp1,Spns2,Rragb,Nr1d1,Clcn7,Orc4,Dhx37,Gdi2,Rps6ka4,Mapre1,Cfl2,Anln,Cry2,Socs2,Srm,Crocc,Igsf9,Ipo13,Hdac2,Kdm4b,Ppp1r14b,Rhebl1,Nrarp,Ehmt2,Mllt1,Hdgfrp2,Mms19,Plekhg3,Inf2,Fjx1,Slc39a14,Kpna4,Acin1,Elovl5,Foxp4,Dgat2,Cnih3,Tmem47,Cdk5r1,Pcgf2,Atl2,Gpm6b,Rnf44,Commd8,Mex3d,Rara,Ccdc126,Ap1s2,Sik3,Wwp2,Bnip3,Abcb6,Gmfb,Lrfn4,Gigyf1,Rasgrp2,Mlxip,Coro7,Sh2d5,Tubg2,Arx,Per3,Fmr1,Rbbp4,Khsrp,St3gal1,Lrtm2,Pld3,2310022A10Rik,Lcorl,Sez6l2,Vps37b,Wnt7b,Ppp2r3c,Zfp62
8	yetfasco-443	0.0325886	3.68491	M1	Max,Usf1,Myc,Arnt,Bhlhe40,Srebf1,Arntl,Olig2,Hey1,Clock,Id1,Atf3,Hey2,Mnt,Npas2,Hes6,Olig1,Heyl,Arntl2,Arnt2,Mlx,Srebf2,Mycs	Amdhd2,Dvl2,Ptprs,Atg3,Slc35a5,Atp6v1h,Cdk4,Fam118b,Sirt1,G6pc3,Cnnm1,Ilf3,Cln3,Mthfr,Eif5a2,Mcoln1,Igf2r,Foxred2,B3galt2,Dhx35,Tef,Cplx3,Sppl3,Mfsd1,Actn2,Arhgap12,Picalm,E130012A19Rik,Rragb,Napa,Snrpa,Dnajb9,Tle6,H2afz,Dyrk1b,Rusc1,Supv3l1,Scamp3,Bcas3,Nckap5l,Ccdc88c,Nr1d1,Trim46,Morc2a,Tug1,Ipo7,Bhlhe40,Fnip1,Rrp12,Dnmt3a,Cbx5,Lfng,Snx5,Timm8a1,Gm10052,Usp2,Chrm1,Orc4,Elovl5,Wdr46,Polr3a,Tle3,Rasgrp2,Slc5a6,Bnip3l,Cd164,Kcnh4,1110059E24Rik,Sumf1,Cfl2,Hnrnpa3,Ddx3x,Cpeb1,Mllt1,Mepce,Ppapdc1a,Pld3,2310022A10Rik,Spns2,Bhlhe41,Nab2,Mnt,Anln,Stxbp2,Ehmt2,Cdk5r1,Socs2,Ptbp1,Gpm6b,Gmfb,Mms19,Clcn7,Rbbp4,Clcn2,Atl2,Ddn,Lrfn4,Pde4a,Hdac2,Khsrp,Mex3d,Crocc,Kdm4b,Rab5a,Fmr1,Islr2,Bnip3,Coro7,Acin1,Rps6ka4,Inf2,Pou3f1,Sik3,Wwp2,Sez6l2,Tmem47,Ampd2,Ppp1r14b,Pcgf2,Polr3d,Srm,Rara,Mapre1,Ppp2r3c
9	yetfasco-646	0.0324955	3.66367	M1	Mycn,Usf2,Usf1,Max,Myc,Arntl,Olig2,Hey1,Id1,Clock,Hey2,Mnt,Npas2,Hes6,Olig1,Heyl,Arntl2,Mycs,Arnt2	Amdhd2,Dvl2,Fam118b,Ptprs,Sirt1,Atg3,Slc35a5,Cdk4,G6pc3,Ilf3,Mfsd1,Picalm,Cnnm1,Igf2r,Mthfr,Dhx35,Eif5a2,Cln3,Bhlhe40,Atp6v1h,Mcoln1,B3galt2,Cplx3,Sppl3,Foxred2,Arhgap12,Trim46,Actn2,Tef,E130012A19Rik,Tug1,Morc2a,Dnajb9,Napa,Ipo7,H2afz,Snrpa,Tle3,Usp2,Rragb,Tle6,Scamp3,Dyrk1b,Kcnh4,Bcas3,Ddn,Slc5a6,Timm8a1,Supv3l1,Fnip1,Nab2,Chrm1,Cd164,Hnrnpa3,Ccdc88c,Rrp12,Bnip3l,Dnmt3a,Cfl2,Rusc1,Mnt,Orc4,Clcn7,1110059E24Rik,Stxbp2,Lig3,Socs2,Cpeb1,Polr3d,Ampd2,Wdr46,Pld3,2310022A10Rik,Cbx5,Ppapdc1a,Gm10052,Snx5,Nr1d1,Bhlhe41,Aldh18a1,Wwp2,Polr3a,Rbbp4,Anln,Ehmt2,Atg5,Lrfn4,Crocc,Pou3f1,Coro7,Elovl5,Srm,Acin1
10	transfac_pro-M02012	0.0324065	3.64338	M1	Hif1a	Amdhd2,Dvl2,Atg3,Slc35a5,Bhlhe40,Picalm,Ptprs,Foxred2,Igf2r,Mfsd1,Sirt1,Ctdp1,Atp6v1h,Sppl3,Cln3,Fam118b,Ilf3,Cdk4,Rnf165,Arhgap12,Nr1d1,G6pc3,Mcoln1,Nab2,Cnnm1,Mthfr,Eif5a2,Cdc73,Nckap5l,Napa,Mepce,Ddx3x,Cplx3,Actn2,Tef,Dhx35,Morc2a,Tug1,Bhlhe41,Chrm1,Nfix,Ccdc88c,E130012A19Rik,H2afz,Cd164,Ppp1r3c,Ctxn2,Sik3,Bnip3l,Rusc1,Dyrk1b,Dnajb9,Cstf1,Cfl2,Vps37b,Ppapdc1a,Vapa,Bnip3,Usp2,Timm8a1,Bcas3,Dnmt3a,Sez6l2,Mms19,Abcb6,2700060E02Rik,Socs2,Spns2,Anln,Hnrnpa3,Orc4,Supv3l1,Slc5a6,Cdk5r1,Snrpa,Rasgrp2,B3galt2,Rps6ka4,Ubap2,Ptbp1,Tle6,Dot1l,Fmr1,Pld3,Fnip1,2310022A10Rik,Rara,Tet2,Snx5,Cbx5,Ralgds,Mnt,Lrfn4,2900079G21Rik,Wwp2,Thnsl1,Ddn,Gm10052,Kdm4b,Sidt1,Slc12a5,Scamp3,Rnf44,Gse1,Cpeb1,Wdr46,Rab5a,Coro7,Atl2,Mex3d,Nup54,Ddx49,1110059E24Rik,Cnih3,Dgat2,Grin1,Pde4a,Ccdc126,Zfp62,A530058N18Rik,Gpbp1,Rragb,Lcorl,Arf4,Mrpl36,Kpna3,Prkcsh,Trim46,Kpna4,Lfng,Rbbp4,Mllt1,Tbc1d13,Qk,Mtfmt,Gmfb,Ipo7,Ehmt2,Hsf4,Bre,Kcnh4,Plekhg3,Tmem181a,Nampt,Tmem132e,Casc3,Per3,Rhebl1,Elovl5,Ppp1r14b,Slc16a1,Osbp2,Abcb8,Ostc,Dazap1,Mapre1,Vma21,Bcl11a,Per1,Clk2,Atg5,Agbl5,Fbxo42,Stxbp2,Polr3a,Tnrc6c,Rrp12,Rab3gap2,Cntnap1,Mink1,Tspan33,4931428F04Rik,Cad,Ipo13,Hmgn5,Cct8,Lactb2,Usp36,Invs,Hdac2,Gdi2,Otud6b,Lhx2,Ddx10,Islr2,Polr3e,Dag1,Cry2,Pou3f1,Uba3,Hdgfrp2,Rnf2,Tle3,Polr3d,Fem1c,Gnb2,Ntng2,Lef1,Clcn7,Ap1s2,Tcp1,Ajap1,Pcyox1l,Tmem150a,Dhx33,Unk,Slc9a1,Dhx37,Slc25a10,Pole4,Lrrtm1,Adcyap1,Aldh4a1,C1galt1c1,Gpc1,Wdr81,Tmem131,Ift140,Paip2,Chac2,Rab33a,Sumf1,Bag6,Crmp1,Pcyt2,Ptp4a3,Serbp1,Ube2o,Klhl7,Ino80e,Gpm6b,Mybbp1a,Commd8,Pcgf2,Las1l,Adra1b,Zcchc14,A230050P20Rik,Tm9sf3,Khsrp,2510039O18Rik,Arx,A230072C01Rik,Hook2,Smchd1,Ulk3,Srrm2,Pfkfb2,Scfd1,Pnpla8,Pak6,Dph2,Orai1,Krba1,Gm561,Snd1,Asb3,Mphosph8,Sema3a,Chrm4,Chmp7,1700066M21Rik,Hirip3,Ranbp6,Tmem47,Foxp4,Fundc2,Lemd2,Calu,Hgs,Atxn2l,Ikzf4,Cfdp1,Ldb1,Commd6,E2f1,Sugp2,Acin1,Rasgrf1,Lmo7,Safb2,Safb,Fam162a,Dbp,Aldh18a1,Api5,Tmem56,Tmsb10,Dlgap4,Igsf9,Arhgap39,Ypel4,Npm1,4930430F08Rik,Cox19,Sugt1,Parn,Cdk18,Rnft2,Nebl,Nkrf,Foxg1,Adck4,Slc12a9,Ier5l,Hdac6,Lig3,Qtrt1,2610001J05Rik,Zmym3,Ahdc1,Eid1,Gtf2b,Hsp90b1,Epc2,Hnrnpa0,Insig2,Wdr90,Rb1cc1,Srm,Cthrc1,Chchd3,Sgk3,Lrrc16b,Bcor,Msl3,Fam63b,Arl1,Ano6,Ppp1cb,Tbc1d19,Polr3k,Ptpn23,Adam15,Pex7,Usp21,Nol3,Ampd2,Crocc,Runx1t1,Slc7a8,Wwp1,Nrgn,Plekhm1,Hivep3,Tubg2,Mthfd1l,Dusp7,Ankrd29,Trmt1,Cacybp,Fgf12,Ube2w,Hdac7,Hps1,Abcd1,Ivd,Bcap31,Vash1,Tmem214,L3mbtl2,Tbc1d12,Chd5,Dact3,Psd,Tmem143,Eif5,Jdp2,Tnni1,Cherp,Lgi3,Dpf1,Yme1l1,Retsat,R3hcc1,Gba2,Marcksl1,Psmd3,Slc39a14,Gpr137,P4ha2,Tdrkh,Gna11,Taf10,Tpt1,Rab40c,Cycs,Rimbp2,Preb,Ppp2r3c,Zc3h10,Mocs2,Porcn,G3bp2,Gpr12,Mapk7,Tmem8,Rrp9,Rab2a,Sh2d5,Tmx4,Fbxo11,Abcc10,Inf2,Nrxn2,Tom1l1,Secisbp2,Sema4b,Dnajc15,Gjb6,Pdk4,Ralyl,Cpne6,Prr3,Slc16a2,Ccnh,Fam73b,Cep164,Dapk1,Wtap,Dak,Arhgap33,Prrc2a,Lrtm2,Dgat1,Plec,Zfp574
